Tamil	English	Domain
ஆன்லைன் விலையை விட இங்க அதிகமா இருக்கு.	It is more expensive here than online.	Market
விலை மேட்ச் பண்ணுவீங்களா?	Will you match the price?	Market
இந்த பிராண்ட் நம்பகமானதா?	Is this brand reliable?	Market
லோக்கல் பொருள் நல்லதா, பிராண்டட் நல்லதா?	Is local produce better or branded?	Market
தள்ளுபடி கூப்பன் இருக்கா?	Is there a discount coupon?	Market
ஆப்ல ஆர்டர் பண்ணா கம்மியா கிடைக்குமா?	Will it be cheaper if I order on the app?	Market
ஃப்ரீ கிஃப்ட் ஏதாவது கிடைக்குமா?	Is there any free gift?	Market
லாயல்டி பாயிண்ட்ஸ் இருக்கா?	Are there loyalty points?	Market
கிரெடிட் கார்டுல கேஷ்பேக் கிடைக்குமா?	Is cashback available on credit card?	Market
EMI வசதி இருக்கா?	Is EMI facility available?	Market
இந்த சோபா சேட் அளவு சரியா வருமா?	Will this sofa set fit properly?	Market
ஹோம் டெலிவரி பண்ணுவீங்களா?	Will you do home delivery?	Market
இந்த ஃபர்னிச்சர் அசெம்பிள் பண்ண ஆள் வருவாங்களா?	Will someone come to assemble this furniture?	Market
பழைய வண்டியை கொடுத்தா புது வண்டி வாங்க தள்ளுபடி கிடைக்குமா?	Will I get a discount on a new vehicle if I give my old one?	Market
டெஸ்ட் டிரைவ் பண்ணலாமா?	Can I take a test drive?	Market
இன்சூரன்ஸ் கூட எடுக்கணும்.	I need to get insurance too.	Market
ரிஜிஸ்ட்ரேஷன் சார்ஜ் தனியா கட்டணுமா?	Should I pay the registration charge separately?	Market
இந்த மொபைல் ஃபோன் ரிப்பேர் ஆகுமா?	Can this mobile phone be repaired?	Market
ரிப்பேர் செய்ய எவ்வளவு ஆகும்?	How much will the repair cost?	Market
ஸ்பேர் பார்ட்ஸ் கிடைக்குமா?	Are spare parts available?	Market
இந்த மாடல் நிறுத்திட்டாங்க.	This model has been discontinued.	Market
புது மாடல் எப்போ வரும்?	When will the new model come?	Market
இந்த கடையில் பார்கைனிங் பண்ணலாமா?	Can I bargain in this shop?	Market
கடைசியா குடுக்கிற விலை இதுதான்.	This is the final price I can give.	Market
இந்த தேர்வுக்கு எப்படி தயார் ஆவது?	How do I prepare for this exam?	School
முன்னோர் வினாத்தாள் பயிற்சி பண்ணு.	Practice previous year question papers.	School
குரூப் ஸ்டடி பண்ணலாம்.	We can do group study.	School
யாரோட நோட்ஸ் நல்லா இருக்கு?	Whose notes are good?	School
போட்டோஸ்டேட் எடுக்கணும்.	I need to get a photocopy.	School
இந்த சப்ஜெக்ட்ல ஆர்வம் இல்ல.	I have no interest in this subject.	School
கம்பல்சரி அட்டெண்டன்ஸ் எவ்வளவு வேணும்?	How much attendance is compulsory?	School
அட்டெண்டன்ஸ் குறைஞ்சுடுச்சு.	My attendance has become low.	School
ஹாள் டிக்கெட் கிடைக்குமா?	Will I get the hall ticket?	School
ரீ வேல்யூவேஷன் போடலாம்.	I can apply for revaluation.	School
ஃபெயில் ஆயிட்டேன், அரியர் எழுதணும்.	I have failed, I need to write the arrear exam.	School
அரியர் கிளியர் பண்ண வழி இருக்கா?	Is there a way to clear the arrear?	School
டிப்ளோமா கோர்ஸ் பண்ணலாமா, டிகிரி பண்ணலாமா?	Should I do a diploma course or a degree?	School
இன்ஜினியரிங் சேர்வதுக்கு என்ன வேணும்?	What is needed to join engineering?	School
NEET எழுத தயாரிக்கணும்.	I need to prepare for NEET.	School
கோச்சிங் சென்டர் போகணுமா?	Do I need to go to a coaching centre?	School
ஆன்லைன் கோர்ஸ் போதுமா?	Is an online course enough?	School
சர்டிஃபிகேட் கோர்ஸ் வேலைக்கு உதவுமா?	Will a certificate course help for employment?	School
இன்டர்ன்ஷிப் எங்க பண்றது?	Where do I do an internship?	School
கேம்பஸ் இன்டர்வியூ எப்போ?	When is the campus interview?	School
ரெஸ்யூம் எப்படி எழுதுவது?	How do I write a resume?	School
கேட் எக்ஸாம் எழுதணும்னு இருக்கேன்.	I am planning to write the GATE exam.	School
ஹயர் ஸ்டடீஸ் வெளிநாட்டுல பண்ணலாம்.	I can pursue higher studies abroad.	School
விசா கிடைக்கும்னு நம்பிக்கை இருக்கு.	I am confident I will get the visa.	School
ஸ்காலர்ஷிப் அப்ளை பண்ண கடைசி நாள் என்ன?	What is the last date to apply for the scholarship?	School
இந்த கல்லூரியில் பிளேஸ்மெண்ட் நல்லா இருக்கா?	Is the placement good in this college?	School
100% பிளேஸ்மெண்ட் கிடைக்குமான்னு தெரியல.	It is not sure if 100% placement will be given.	School
படிப்பு முடிஞ்சதும் வேலை கிடைக்கும்னு நம்பிக்கை இருக்கு.	I am confident of getting a job after completing studies.	School
தமிழ் மீடியம்ல படிச்சா இங்கிலீஷ் வருமா?	Will English come if I study in Tamil medium?	School
கஷ்டப்பட்டு படிச்சா எதுவும் சாத்தியம்.	Anything is possible if you study hard.	School
ரயில் பயணத்துக்கு முன்னாடி என்ன கவனிக்கணும்?	What should I check before a train journey?	Transport
PNR நம்பர் வச்சு ஸ்டேட்டஸ் பாக்கலாம்.	I can check the status using the PNR number.	Transport
ரயில் பிளாட்ஃபார்ம் மாறிடுச்சு.	The train platform has changed.	Transport
அனவுன்ஸ்மெண்ட் கேக்கலை.	I didn't hear the announcement.	Transport
கோச் நம்பர் என்ன?	What is the coach number?	Transport
என் சீட் வின்டோ சீட்டா இருக்கா?	Is my seat a window seat?	Transport
அப்பர் பெர்த் வேணும்னு கேட்டேன்.	I asked for an upper berth.	Transport
நைட் ட்ராவல் சேஃப்டியா இருக்குமா?	Will night travel be safe?	Transport
பேன்ட்ரி கார்ல சாப்பாடு கிடைக்குமா?	Is food available in the pantry car?	Transport
ரயில்ல தண்ணீர் பாட்டில் கிடைக்குமா?	Is a water bottle available on the train?	Transport
ஹோட்டல் ரூம் புக் பண்ணிட்டீங்களா?	Have you booked a hotel room?	Transport
செக்-இன் டைம் என்ன?	What is the check-in time?	Transport
செக்-அவுட் நாளைக்கு காலையில.	Check-out is tomorrow morning.	Transport
ரூம் சர்வீஸ் கிடைக்குமா?	Is room service available?	Transport
AC ரூம் வேணும்.	I need an AC room.	Transport
இந்த ஹோட்டல்ல பார்க்கிங் இருக்கா?	Is there parking at this hotel?	Transport
டூரிஸ்ட் ஸ்பாட் எங்க இருக்கு?	Where is the tourist spot?	Transport
கைட் தேவையா?	Is a guide needed?	Transport
ஃபோட்டோ எடுக்க அனுமதி இருக்கா?	Is photography allowed?	Transport
இங்கிருந்து மலை ஏற எவ்வளவு நேரம் ஆகும்?	How long does it take to climb the hill from here?	Transport
கடல் கரை எத்தனை கிலோமீட்டர் தூரம்?	How many kilometres away is the beach?	Transport
டேக்ஸி வாடகை ஒரு நாளைக்கு எவ்வளவு?	How much is the taxi rent for one day?	Transport
ட்ரிப் கேன்சல் பண்ண ரீஃபண்ட் கிடைக்குமா?	Will I get a refund if I cancel the trip?	Transport
இந்த ஊர்ல சுற்றுலா பஸ் வசதி இருக்கா?	Is there a sightseeing bus facility in this town?	Transport
மழை கால பயணம் ரிஸ்க்கா இருக்கும்.	Travelling during the rainy season will be risky.	Transport
மலை பகுதியில ஸ்லிப்பரி ரோடு இருக்கும்.	There will be slippery roads in hilly areas.	Transport
சாலை தரம் நல்லா இருக்கா?	Is the road condition good?	Transport
ஹைவேல போகலாம், வேகமா போகலாம்.	We can take the highway, it will be faster.	Transport
டோல் கட்டணம் ஃபாஸ்ட்டேக்ல போகும்.	The toll charge will go through FASTag.	Transport
இன்னைக்கு வெளியூர் பயணம் கஷ்டமா இருக்கு.	Travelling outstation today is difficult.	Transport
